連番,氏名,氏名（カタカナ）,性別,電話番号,携帯電話,郵便番号,住所,,,,,生年月日,血液型
1,石沢 彩香,イシザワ アヤカ,女,0462897201,09032271935,228-0818,神奈川県,相模原市,上鶴間本町,4-19-1,,1941/12/01,A
2,浜 晴彦,ハマ ハルヒコ,男,0233826248,09080069091,999-3201,山形県,上山市,宮脇,4-15-4,,1990/05/05,O
3,田端 守弘,タバタ モリヒロ,男,0246001259,,966-0932,福島県,喜多方市,上三宮町吉川,1-3-8,,1943/06/23,B
4,稲田 日向子,イナダ ヒナコ,女,0176233422,,039-2678,青森県,上北郡東北町,坂ノ下,3-8-9,,1978/02/02,A
5,小松 博文,コマツ ヒロフミ,男,0235209584,09056599944,990-0011,山形県,山形市,妙見寺,1-6-10,,1950/12/27,B
6,大久保 優空,オオクボ ユラ,女,0416274585,08070311381,349-1153,埼玉県,北埼玉郡大利根町,新川通,4-4,,1994/03/08,A
7,宮川 平一,ミヤカワ ヘイイチ,男,0524287659,09020949426,452-0945,愛知県,清須市,土田,4-9,ロイヤル土田314,1971/12/04,AB
8,尾上 奈月,オガミ ナツキ,女,0577791510,,509-1613,岐阜県,下呂市,金山町中津原,3-12-15,,1938/07/29,B
9,鎌田 志郎,カマタ シロウ,男,0786224235,,651-0061,兵庫県,神戸市中央区,上筒井通,1-5-2,,1938/11/23,A
10,関 愛花,カン アイカ,女,085712381,08073448961,689-4521,鳥取県,日野郡日野町,津地,4-17,,1968/07/14,B
11,黒田 信雄,クロダ ノブオ,男,0594522328,09024561938,514-0034,三重県,津市,南丸之内,1-3,,1991/01/29,O
12,尾上 鈴,オガミ リン,女,0782162498,08059047534,654-0017,兵庫県,神戸市須磨区,大手,1-5,,1974/12/04,A
13,新谷 利彦,アラヤ トシヒコ,男,095447219,,850-0043,長崎県,長崎市,八千代町,1-15-3,,1954/02/18,B
14,高梨 静江,タカナシ シズエ,女,0973177689,08028397054,879-1127,大分県,宇佐市,西屋敷,2-5,プレシャス西屋敷416,1978/07/17,B
15,沢村 浩,サワムラ ヒロシ,男,0747150144,,637-0037,奈良県,五條市,野原中,1-18,ガーデン野原中419,1938/01/28,O
16,久野 伸生,ヒサノ ノブオ,男,0653207479,,558-0004,大阪府,大阪市住吉区,長居東,2-7-14,,1957/11/10,A
17,坂口 美津子,サカグチ ミツコ,女,0547016929,08010810805,417-0807,静岡県,富士市,神戸,3-9,神戸プレシャス408,1958/03/14,O
18,竹田 千代,タケダ チヨ,女,0498797862,09063057918,364-0004,埼玉県,北本市,山中,3-11,,1960/08/11,O
19,小宮 則明,コミヤ ノリアキ,男,0984363330,09081306465,885-0006,宮崎県,都城市,吉尾町,2-8,,1960/03/11,A
20,大熊 正雄,オオクマ マサオ,男,0639014472,09048170980,580-0024,大阪府,松原市,東新町,2-1-14,リバーサイド東新町309,1996/07/26,B
21,荻原 砂登子,オギワラ サトコ,女,0979287397,08037230692,875-0232,大分県,臼杵市,野津町烏嶽,3-19-15,野津町烏嶽プレイス315,1956/04/02,O
22,小泉 愛菜,コイズミ アイナ,女,0760651599,08037287044,929-0462,石川県,河北郡津幡町,市谷,3-15-1,,1956/02/13,O
23,益子 英俊,マスコ ヒデトシ,男,0767354699,08009482723,930-0316,富山県,中新川郡上市町,中小泉,1-1-10,中小泉庵211,1988/03/08,A
24,宮内 小雪,ミヤウチ コユキ,女,0942784597,,843-0002,佐賀県,武雄市,朝日町中野,2-13-1,,1938/02/03,O
25,久米 千里,クメ チサト,女,0186049679,09012415247,014-0804,秋田県,大仙市,橋本,4-13-1,,1980/06/07,AB
