連番,氏名,氏名（カタカナ）,性別,電話番号,携帯電話,郵便番号,住所,,,,,生年月日,血液型
1,保田 俊夫,ヤスダ トシオ,男,0740334699,08080739981,523-0051,滋賀県,近江八幡市,八木町,2-9,,1984/08/16,A
2,青柳 一葉,アオヤギ カズハ,女,095247908,09051470836,849-2304,佐賀県,武雄市,山内町大野,2-2-5,山内町大野シーサイド110,1989/02/22,B
3,長野 利恵,ナガノ リエ,女,0748187449,08070633079,525-0046,滋賀県,草津市,追分町,1-2-10,追分町アパート216,1995/05/19,A
4,湊 当麻,ミナト トウマ,女,0982860395,09034990222,882-0022,宮崎県,延岡市,二ツ島町,4-6-2,ロイヤル二ツ島町110,1963/10/16,A
5,伏見 心菜,フシミ ココナ,女,0754287002,09000476929,531-0075,大阪府,大阪市北区,大淀南,4-13-12,,1962/04/11,A
6,吉川 凛,ヨシカワ リン,女,0899312688,,798-1132,愛媛県,宇和島市,三間町波岡,1-2,,1939/02/09,A
7,長嶋 沙也加,ナガシマ サヤカ,女,0489049755,,299-5242,千葉県,勝浦市,吉尾,4-8,吉尾マンション115,1949/11/27,A
8,倉本 清三,クラモト セイゾウ,男,0764541271,09087560940,939-1655,富山県,南砺市,坂本,2-15-4,坂本レジデンス401,1961/04/05,A
9,谷口 正太郎,タニグチ ショウタロウ,男,0195738442,09065696941,029-3101,岩手県,一関市,花泉町花泉,2-1-10,,1950/07/29,B
10,原口 千穂,ハラグチ チホ,女,0798560213,08045598798,655-0854,兵庫県,神戸市垂水区,桃山台,1-12-18,桃山台パーク310,1979/03/05,A
11,勝田 均,カツタ ヒトシ,男,0953685693,09055011828,811-5221,長崎県,壱岐市,石田町池田東触,3-19-20,,1976/04/27,A
12,森田 紀夫,モリタ ノリオ,男,0880664318,09017816349,786-0087,高知県,高岡郡四万十町,作屋,3-18-9,,1967/05/10,O
13,植松 政夫,ウエマツ マサオ,男,0250897181,09020853180,950-0012,新潟県,新潟市東区,有楽,1-18,ドリーム有楽307,1968/08/21,O
14,成田 英人,ナリタ ヒデト,男,0744719473,08072180668,630-0203,奈良県,生駒市,生駒台北,4-8-12,グランド生駒台北303,1943/06/02,A
15,久野 百合子,ヒサノ ユリコ,女,045298093,,369-1802,埼玉県,秩父市,荒川上田野,4-13,,1969/12/19,A
16,菅原 崇,スガハラ タカシ,男,0221265443,,989-6802,宮城県,大崎市,鳴子温泉末沢西,4-16,,1965/11/19,O
17,中嶋 結子,ナカジマ ユイコ,女,0859325428,08030111368,680-0607,鳥取県,八頭郡八頭町,徳丸,2-12-18,,1969/08/18,O
18,長島 元彦,ナガシマ モトヒコ,男,0244731273,08053467185,963-4322,福島県,田村市,船引町荒和田,3-11-10,,1978/05/24,O
19,出口 円香,デクチ マドカ,女,0533829431,08098892855,492-8443,愛知県,稲沢市,牛踏町,2-15,メゾン牛踏町305,1971/10/24,A
20,小村 治志,コムラ ハルシ,男,0861144407,09056321182,701-1332,岡山県,岡山市北区,平山,3-10-9,平山スカイ114,1969/05/10,B
21,松永 章夫,マツナガ アキオ,男,0179312106,,036-0101,青森県,平川市,大光寺三村井,1-8-4,大光寺三村井ハウス405,1950/01/15,A
22,篠崎 良明,シノザキ ヨシアキ,男,0993485959,09095757985,898-0015,鹿児島県,枕崎市,西本町,1-7-20,ロイヤルパレス西本町306,1959/01/14,A
23,渡辺 咲良,ワタナベ サラ,女,0967622456,08034542866,869-3601,熊本県,上天草市,大矢野町登立,4-10-2,大矢野町登立シーサイド202,1950/10/02,B
24,坂井 綾音,サカイ アヤネ,女,0224779944,09040378190,981-4305,宮城県,加美郡加美町,宮田,3-8,,1959/08/25,A
25,根岸 栞菜,ネギシ カンナ,女,018934917,09028907621,012-0836,秋田県,湯沢市,金堀沢山,4-10-20,,1985/02/18,B
26,村井 璃子,ムライ リコ,女,0248857477,09030728411,964-0838,福島県,二本松市,借宿,1-4-1,コンフォート借宿417,1977/05/21,O
27,上条 優那,カミジョウ ユウナ,女,0980816553,,900-0004,沖縄県,那覇市,銘苅,2-5,,1957/04/22,O
28,松井 陽和,マツイ ヒヨリ,女,0774470259,09089897005,622-0301,京都府,船井郡京丹波町,粟野,1-11,,1988/10/18,A
29,徳永 幸次郎,トクナガ コウジロウ,男,0258396321,08072325052,949-4301,新潟県,三島郡出雲崎町,久田,3-1-6,プレシャス久田116,1989/11/12,B
30,北原 知美,キタハラ トモミ,女,027889902,09069761134,374-0015,群馬県,館林市,上赤生田町,2-20-16,,1970/09/02,B
31,岩井 正利,イワイ マサトシ,男,0531995341,09086300617,425-0062,静岡県,焼津市,中根新田,2-9-15,,1996/03/11,A
32,柳原 芳明,ヤナギハラ ヨシアキ,男,0174750758,,036-1343,青森県,弘前市,百沢,2-6-18,,1949/06/01,B
